example_id                                                                 | status | run_time        |
-------------------------------------------------------------------------- | ------ | --------------- |
./spec/helpers/session_helper_spec.rb[1:1:1:1:1]                           | passed | 0.03421 seconds |
./spec/helpers/session_helper_spec.rb[1:1:1:2:1:1]                         | passed | 0.00739 seconds |
./spec/helpers/session_helper_spec.rb[1:1:1:2:2:1]                         | passed | 0.05252 seconds |
./spec/helpers/session_helper_spec.rb[1:1:2:1:1]                           | passed | 0.00566 seconds |
./spec/helpers/session_helper_spec.rb[1:1:2:2:1]                           | passed | 0.01555 seconds |
./spec/models/what_to_discard_problem_comment_spec.rb[1:1:1:1:1:1]         | passed | 0.11019 seconds |
./spec/models/what_to_discard_problem_comment_spec.rb[1:1:1:1:2:1]         | passed | 0.02757 seconds |
./spec/models/what_to_discard_problem_comment_spec.rb[1:1:1:2:1:1]         | passed | 0.06815 seconds |
./spec/models/what_to_discard_problem_comment_spec.rb[1:1:2:1]             | passed | 0.01292 seconds |
./spec/models/what_to_discard_problem_comment_spec.rb[1:1:2:2:1]           | passed | 0.01533 seconds |
./spec/models/what_to_discard_problem_spec.rb[1:1:1:1]                     | passed | 0.0233 seconds  |
./spec/models/what_to_discard_problem_spec.rb[1:1:2:1]                     | passed | 0.00483 seconds |
./spec/models/what_to_discard_problem_spec.rb[1:1:3:1]                     | passed | 0.00114 seconds |
./spec/models/what_to_discard_problem_spec.rb[1:1:4:1]                     | passed | 0.00217 seconds |
./spec/models/what_to_discard_problem_spec.rb[1:1:5:1]                     | passed | 0.00251 seconds |
./spec/models/what_to_discard_problem_spec.rb[1:1:6:1]                     | passed | 0.00463 seconds |
./spec/models/what_to_discard_problem_spec.rb[1:1:7:1]                     | passed | 0.00116 seconds |
./spec/requests/csrf_tokens_spec.rb[1:1:1:1:1]                             | passed | 0.02784 seconds |
./spec/requests/csrf_tokens_spec.rb[1:1:2:1:1]                             | passed | 0.05501 seconds |
./spec/requests/forum_threads_spec.rb[1:1:1]                               | passed | 0.03374 seconds |
./spec/requests/forum_threads_spec.rb[1:2:1:1]                             | passed | 0.00958 seconds |
./spec/requests/forum_threads_spec.rb[1:2:2:1:1]                           | failed | 0.4016 seconds  |
./spec/requests/forum_threads_spec.rb[1:2:2:2:1]                           | passed | 0.31477 seconds |
./spec/requests/forum_threads_spec.rb[1:2:3:1:1]                           | passed | 0.02533 seconds |
./spec/requests/forum_threads_spec.rb[1:2:3:2:1]                           | passed | 0.22607 seconds |
./spec/requests/profiles_spec.rb[1:1:1:1:1]                                | passed | 0.02765 seconds |
./spec/requests/profiles_spec.rb[1:1:2:1:1]                                | passed | 0.06477 seconds |
./spec/requests/profiles_spec.rb[1:2:1:1:1]                                | passed | 0.0046 seconds  |
./spec/requests/profiles_spec.rb[1:2:2:1:1]                                | passed | 0.0295 seconds  |
./spec/requests/reports_spec.rb[1:1:1]                                     | passed | 0.02974 seconds |
./spec/requests/reports_spec.rb[1:2:1]                                     | failed | 0.00107 seconds |
./spec/requests/reports_spec.rb[1:3:1:1]                                   | failed | 0.01975 seconds |
./spec/requests/sessions_spec.rb[1:1:1:1]                                  | passed | 0.07282 seconds |
./spec/requests/sessions_spec.rb[1:1:2:1:1]                                | passed | 0.02065 seconds |
./spec/requests/sessions_spec.rb[1:1:2:2:1]                                | passed | 0.01343 seconds |
./spec/requests/sessions_spec.rb[1:2:1:1]                                  | passed | 0.00499 seconds |
./spec/requests/sessions_spec.rb[1:3:1:1]                                  | passed | 0.00578 seconds |
./spec/requests/sessions_spec.rb[1:3:2:1]                                  | passed | 0.05032 seconds |
./spec/requests/users_spec.rb[1:1:1:1]                                     | passed | 0.02835 seconds |
./spec/requests/users_spec.rb[1:1:2:1]                                     | passed | 0.05446 seconds |
./spec/requests/users_spec.rb[1:2:1:1]                                     | passed | 0.01084 seconds |
./spec/requests/users_spec.rb[1:2:2:1]                                     | passed | 0.04891 seconds |
./spec/requests/users_spec.rb[1:3:1:1]                                     | passed | 0.02831 seconds |
./spec/requests/users_spec.rb[1:3:2:1]                                     | passed | 0.02487 seconds |
./spec/requests/users_spec.rb[1:4:1:1]                                     | passed | 0.01023 seconds |
./spec/requests/users_spec.rb[1:4:2:1]                                     | passed | 0.02458 seconds |
./spec/requests/users_spec.rb[1:5:1:1]                                     | passed | 0.00866 seconds |
./spec/requests/users_spec.rb[1:5:2:1]                                     | passed | 0.04347 seconds |
./spec/requests/what_to_discard_problems/comments_spec.rb[1:1:1:1:1]       | passed | 0.12371 seconds |
./spec/requests/what_to_discard_problems/comments_spec.rb[1:1:2:1:1:1:1]   | passed | 0.05413 seconds |
./spec/requests/what_to_discard_problems/comments_spec.rb[1:1:2:1:2:1:1]   | passed | 0.07524 seconds |
./spec/requests/what_to_discard_problems/comments_spec.rb[1:1:2:2:1:1:1]   | passed | 0.03153 seconds |
./spec/requests/what_to_discard_problems/comments_spec.rb[1:1:2:2:2:1:1:1] | passed | 0.0431 seconds  |
./spec/requests/what_to_discard_problems/comments_spec.rb[1:1:2:2:2:2:1:1] | passed | 0.0236 seconds  |
./spec/requests/what_to_discard_problems_spec.rb[1:1:1:1:1]                | passed | 0.02746 seconds |
./spec/requests/what_to_discard_problems_spec.rb[1:1:2:1:1:1:1]            | passed | 0.09739 seconds |
./spec/requests/what_to_discard_problems_spec.rb[1:1:2:1:2:1:1]            | passed | 0.02103 seconds |
./spec/requests/what_to_discard_problems_spec.rb[1:1:2:2:1:1]              | passed | 0.03626 seconds |
